ABC11	ABC-Terminologie des VBS	Terminologie NBC du DDPS	Terminologia NBC del DDPS	ABC Military Terminology DDPS
TBE98	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE99	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBT13	Interoperabilität im Schienenverkehr	Interopérabilité ferrroviaire	Interoperabilità ferroviaria	Railway interoperability
TER03	Terminologie der Finanzierung des Terrorismus	Terminologie du financement du terrorisme	Terminologia del finanziamento del terrorismo	Terminology of the Financing of Terrorism
TFR07	Terminologie der Staatskanzlei des Kantons Freiburg	Terminologie de la Chancellerie d'Etat du canton de Fribourg	Terminologia della Cancelleria dello Stato del Cantone di Friburgo	Terminology of the Cantonal Chancellery of the Canton of Fribourg
TGR14	Terminologie der Standeskanzlei Graubünden (Parli) 	Terminologie de la Chancellerie d'Etat du Canton des Grisons (Parli)	Terminologia della Cancelleria dello Stato dei Grigioni (Parli)	Terminology of the Cantonal Chancellery of Graubünden (Parli)
TGR16	Terminologie der Standeskanzlei Graubünden	Terminologie de la Chancellerie d'Etat du Canton des Grisons	Terminologia della Cancelleria dello Stato dei Grigioni	Terminology of the Cantonal Chancellery of Graubünden
THI96	Rechtswörterbuch Piccard/Thilo/Steiner, 1950	Dictionnaire juridique Piccard-Thilo-Steiner, 1950	Dizionario giuridico Piccard-Thilo-Steiner, 1950	Legal dictionary Piccard/Thilo/Steiner, 1950
TIT15	Schweizerische Bundesbehörden: Titel der Amtsträger	Autorités fédérales suisses: titres des personnages officiels	Autorità federali svizzere: titoli dei mandatari	Swiss federal authorities: titles of public officials
TIT89v	Schweizerische Bundes-, Kantons- und Gemeindebehörden: frühere Titel der Amtsträger	Autorités fédérales, cantonales et communales suisses: anciens titres des personnages officiels	Autorità federali, cantonali e comunali svizzere: titoli precedenti dei mandatari	Swiss federal, cantonal and communal authorities: former titles of public officials
TIT98	Schweizerische Bundes-, Kantons- und Gemeindebehörden: Titel der Amtsträger	Autorités fédérales, cantonales et communales suisses: titres des personnages officiels	Autorità federali, cantonali e comunali svizzere: titoli dei mandatari	Swiss federal, cantonal and communal authorities: titles of public officials
TOP06	Terminologie der Topografie	Terminologie de la topographie	Terminologia della topografia	Terminology of Topography
TRN05	Terminologie der Gesetzgebung über die Zuteilung von Organen zur Transplantation	Terminologie de la législation sur l'attribution d'organes	Terminologia della legislazione sull'attribuzione di organi per il trapianto	EN: Terminologie der Gesetzgebung über die Zuteilung von Organen zur Transplantation
TRS17	Rechtsetzungsterminologie	Terminologie législative et réglementaire	Terminologia legislativa	Terminology of the legislative process 
TSA87	Terminologie der Aktiengesellschaft	Terminologie de la société anonyme	Terminologia della società anonima	Terminology of the company limited by shares
TSS16	Terminologie des Gesundheitssystems	Terminologie du système de santé	Terminologia del sistema sanitario	Health System Terminology
TVA07	Übersetzungsdatei der schweizerischen Bundesverwaltung (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
TVS12	Terminologie der Staatskanzlei des Kantons Wallis	Terminologie de la Chancellerie d'Etat du Canton du Valais	Terminologia  della Cancelleria dello Stato del Cantone del Vallese	Terminology of the Cantonal Chancellery of Valais
UEB08	Übersetzungsdatei	fichier de traduction	file di traduzione	Translation file
UFAG13	Terminologie der Landwirtschaft 	Terminologie de l'agriculture	Terminologia dell'agricoltura	Terminology of agriculture
UNI04	Terminologie der Universität Freiburg	Terminologie de l'Université Fribourg	Terminologia dell'Università di Friburgo	EN: Terminologie der Universität Freiburg
UNI93	Bezeichnungen der Hochschulorgane	Appellations de l'administration des hautes écoles	Denominazioni degli organi delle scuole universitarie	EN: Bezeichnungen der Hochschulorgane
UNO04	Terminologie des Hochkommissariats der Vereinten Nationen für Flüchtlinge	Terminologie du Haut Commissariat des Nations Unies pour les réfugiés	Terminologia dell'Alto Commissariato delle Nazioni Unite per i Rifugiati	Terminoloy of the United Nations High Commissioner for Refugee
VAL16	Terminologie Wertpapiere	Terminologie Wertpapiere	Terminologie Wertpapiere	Terminologie Wertpapiere
VBS07	Militärische Terminologie des VBS	Terminologie militaire du DDPS	Terminologia militare del DDPS	DDPS Military Terminology
VBS11	Militärische Terminologie des GS-VBS	Terminologie militaire du SG-DDPS	Terminologia militare del SG-DDPS	GS-DDPS Military Terminology
VBS97	Militärische Terminologie des VBS	Terminologie militaire du DDPS	Terminologia militare del DDPS	DDPS Military Terminology
VBS98	Militärische Terminologie des VBS: Materialbewirtschaftung	Terminologie militaire du DDPS: système de gestion du matériel	Terminologia militare del DDPS: sistema di gestione del materiale	GS-DDPS Military Terminology: materials management
VPG07	Übersetzungsdatei der schweizerischen Bundesverwaltung, Verwaltungspraxis der Bundesbehörden (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
VWK91	Terminologie der Verwaltungskontrolle	Terminologie du contrôle administratif	Terminologia del controllo amministrativo	Administrative control terminology
WAF96	Terminologie des Waffengesetzes	Terminologie de la loi sur les armes	Terminologia della legge sulle armi	Weapons Act terminology
WAFFE18	Terminologie des Waffengesetzes	Terminologie de la loi sur les armes	Terminologia della legge sulle armi	Weapons Act Terminology
WWI17	Terminologie des Hochwasserschutzes (BAFU)	Terminologie de la protection contre les crues (OFEV)	Terminologia della protezione contro le piene (UFAM)	Terminology of flood protection (FOEN)
WYL15	Wyler/Wyler, Lex Friedrich, 1987	Wyler/Wyler, Lex Friedrich, 1987	Wyler/Wyler, Lex Friedrich, 1987	Wyler/Wyler, Lex Friedrich, 1987
ZGB15	Terminologie des schweizerischen Zivilgesetzbuchs (punktuelle Einträge)	Terminologie du Code civil suisse (fiches ponctuelles)	Terminologia del Codice civile svizzero (schede puntuali)	Swiss Civil Code terminology (ad-hoc entries)
ZGB93	Terminologie des Schweizerischen Zivilgesetzbuchs	Terminologie du Code civil suisse	Terminologia del Codice civile svizzero	Swiss Civil Code terminology
ZIV15	Terminologie der Vollzugsstelle für den Zivildienst	Terminologie de l'Organe d'exécution du service civil	Terminologia dell'Organo d'esecuzione del servizio civile	Terminology of the Central Office for Civilian Service
ZSPCI18	Terminologie des Projekts Zivilschutz 2015+ (ZS 2015+)	Terminologie du projet Protection civile 2015+ (PCi 2015+)	Terminologia del progetto Protezione civile 2015+ (PCi 2015+)	Terminologie des Projekts Zivilschutz 2015+ (ZS 2015+)
ZSW11	Terminologie des Schweizerischen Zivilstandswesens	Terminologie de l'état civil suisse 	Terminologia dello stato civile svizzero	EN: Terminologie des Schweizerischen Zivilstandswesens
